cluster	gloss
0	of or being the essential or basic part
1	share in something
2	a secondary role or function
3	related or limited to a distinct region or subdivision of a territory or community or group of people / the region of the United States lying to the north of the Mason-Dixon line / the region of the United States lying to the south of the Mason-Dixon line
4	an abstract part of something / as an important constituent / being or affecting only a part; not total / have as a part, be made up out of / of or being the essential or basic part / serving as an essential component
5	a personal or social separation (as between opposing factions) / discontinue an association or relation; go different ways / fail to keep or to maintain; cease to have, either physically or in an abstract sense / get lost, as without warning or explanation / no longer in your possession or control; unable to be found or recovered / run away secretly with one's beloved
6	any area of the body especially sensitive to sexual stimulation / concentration measured by the number of moles of solute per liter of solution / external female sex organs / human external genital organs collectively especially of a female / one part in a hundred equal parts / the quantity of an element whose weight in grams is numerically equal to the atomic weight of the element
7	a sudden disappearance from sight / get lost, as without warning or explanation / move away or escape suddenly
8	a distinct feature or element in a problem / an abstract part of something / involving only main features
9	in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line / in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line / related or limited to a distinct region or subdivision of a territory or community or group of people
10	a brief section of a literary or dramatic work that forms part of a connected series / a dramatic work intended for performance by actors on a stage / composed or performed by a single voice or instrument
11	a duty that is incumbent upon you / a special assignment that is given to a person or group / the actions and activities assigned to or required or expected of a person or group
12	a duty that is incumbent upon you / a secondary role or function / the actions and activities assigned to or required or expected of a person or group
13	a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule / a subdivision of a play or opera or ballet / a subdivision of an act of a play
14	a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with / a statute in draft before it becomes law / law enacted by a legislative body
15	a group of people living in a particular local area / a population that is part of a larger population / by a group of people rather than an individual
