cluster	gloss
-1	(baseball) a person who plays a position in the infield
0	the person who plays left field
1	a person who plays an organ
2	a tape deck for playing and recording cassette tapes
3	a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service
4	someone who plays a musical instrument (as a profession)
5	a public performer (a dancer or singer)
6	a person who shoots (usually with respect to their ability to shoot)
7	a company that has been chosen as attractive for takeover by a potential acquirer
8	a high-ranking military officer
9	a digital tape recording of sound
10	(baseball) a person who plays a position in the infield
