cluster	gloss
0	anhalten und erpressen
1	packing
2	anpackt halten
3	Tocken, erpressen
4	anfangen zu packe, wollen und warten
5	anpacke
6	Too few examples to generate a proper definition!
7	Too few examples to generate a proper definition!
8	Too few examples to generate a proper definition!
9	Too few examples to generate a proper definition!
10	Too few examples to generate a proper definition!
11	Too few examples to generate a proper definition!
12	Too few examples to generate a proper definition!
13	Too few examples to generate a proper definition!
14	Too few examples to generate a proper definition!
