words	forms
тупик	тупик тупики тупика тупиков тупику тупикам тупика тупиков тупиком тупиками тупике тупиках
итальянец	итальянец итальянцы итальянца итальянцев итальянцу итальянцам итальянца итальянцев итальянцем итальянцами итальянце итальянцах
тачка	тачка тачки тачки тачек тачке тачкам тачку тачки тачкой тачкою тачками тачке тачках
головка	головка головки головки головок головке головкам головку головки головкой головкою головками головке головках
центр	центр центры центра центров центру центрам центр центры центром центрами центре центрах
обоснование	обоснование обоснования обоснования обоснований обоснованию обоснованиям обоснование обоснования обоснованием обоснованиями обосновании обоснованиях
правда	правда правды правды правд правде правдам правду правды правдой правдою правдами правде правдах
формат	формат форматы формата форматов формату форматам формат форматы форматом форматами формате форматах
наволочка	наволочка наволочки наволочки наволочек наволочке наволочкам наволочку наволочки наволочкой наволочкою наволочками наволочке наволочках
чек	чек чеки чека чеков чеку чекам чек чеки чеком чеками чеке чеках
университет	университет университеты университета университетов университету университетам университет университеты университетом университетами университете университетах
связка	связка связки связки связок связке связкам связку связки связкой связкою связками связке связках
совершенство	совершенство совершенства совершенства совершенств совершенству совершенствам совершенство совершенства совершенством совершенствами совершенстве совершенствах
апостол	апостол апостолы апостола апостолов апостолу апостолам апостола апостолов апостолом апостолами апостоле апостолах
земля	земля земли земли земель земле землям землю земли землёй землей землёю землею землями земле землях
лечение	лечение лечения лечения лечений лечению лечениям лечение лечения лечением лечениями лечении лечениях
расчет	расчёт расчет расчёты расчеты расчёта расчета расчётов расчетов расчёту расчету расчётам расчетам расчёт расчет расчёты расчеты расчётом расчетом расчётами расчетами расчёте расчете расчётах расчетах
помощник	помощник помощники помощника помощников помощнику помощникам помощника помощников помощником помощниками помощнике помощниках
любовь	любовь любви любви любвей любви любвям любовь любви любовью любвями любви любвях
монстр	монстр монстры монстра монстров монстру монстрам монстра монстров монстром монстрами монстре монстрах
облако	облако облака облака облаков облаку облакам облако облака облаком облаками облаке облаках
полость	полость полости полости полостей полости полостям полость полости полостью полостями полости полостях
название	название названия названия названий названию названиям название названия названием названиями названии названиях
собрат	собрат собратья собрата собратьев собрату собратьям собрата собратьев собратом собратьями собрате собратьях
предательство	предательство предательства предательства предательств предательству предательствам предательство предательства предательством предательствами предательстве предательствах
прорыв	прорыв прорывы прорыва прорывов прорыву прорывам прорыв прорывы прорывом прорывами прорыве прорывах
верховье	верховье верховья верховья верховий верховьев верховью верховьям верховье верховья верховьем верховьями верховье верховьи верховьях
стипендия	стипендия стипендии стипендии стипендий стипендии стипендиям стипендию стипендии стипендией стипендиею стипендиями стипендии стипендиях
кабан	кабан кабаны кабана кабанов кабану кабанам кабана кабанов кабаном кабанами кабане кабанах
кулиса	кулиса кулисы кулисы кулис кулисе кулисам кулису кулисы кулисой кулисою кулисами кулисе кулисах
проникновение	проникновение проникновения проникновения проникновений проникновению проникновениям проникновение проникновения проникновением проникновениями проникновении проникновениях
блин	блин блины блина блинов блину блинам блин блины блином блинами блине блинах
прецедент	прецедент прецеденты прецедента прецедентов прецеденту прецедентам прецедент прецеденты прецедентом прецедентами прецеденте прецедентах
благодарность	благодарность благодарности благодарности благодарностей благодарности благодарностям благодарность благодарности благодарностью благодарностями благодарности благодарностях
заблуждение	заблуждение заблуждения заблуждения заблуждений заблуждению заблуждениям заблуждение заблуждения заблуждением заблуждениями заблуждении заблуждениях
эшелон	эшелон эшелоны эшелона эшелонов эшелону эшелонам эшелон эшелоны эшелоном эшелонами эшелоне эшелонах
бригада	бригада бригады бригады бригад бригаде бригадам бригаду бригады бригадой бригадою бригадами бригаде бригадах
вызов	вызов вызовы вызова вызовов вызову вызовам вызов вызовы вызовом вызовами вызове вызовах
ядро	ядро ядра ядра ядер ядру ядрам ядро ядра ядром ядрами ядре ядрах
любовник	любовник любовники любовника любовников любовнику любовникам любовника любовников любовником любовниками любовнике любовниках
риторика	риторика риторики риторики риторик риторике риторикам риторику риторики риторикой риторикою риториками риторике риториках
пафос	пафос пафосы пафоса пафосов пафосу пафосам пафос пафосы пафосом пафосами пафосе пафосах
брат	брат братья браты брата братьев братов брату братьям братам брата братьев братов братом братьями братами брате братьях братах
четверть	четверть четверти четверти четвертей четверти четвертям четверть четверти четвертью четвертями четверти четвертях
авторитет	авторитет авторитеты авторитета авторитетов авторитету авторитетам авторитет авторитеты авторитетом авторитетами авторитете авторитетах
список	список списки списка списков списку спискам список списки списком списками списке списках
план	план планы плана планов плану планам план планы планом планами плане планах
поколение	поколение поколения поколения поколений поколению поколениям поколение поколения поколением поколениями поколении поколениях
ранец	ранец ранцы ранца ранцев ранцу ранцам ранец ранцы ранцем ранцами ранце ранцах
понедельник	понедельник понедельники понедельника понедельников понедельнику понедельникам понедельник понедельники понедельником понедельниками понедельнике понедельниках
маньяк	маньяк маньяки маньяка маньяков маньяку маньякам маньяка маньяков маньяком маньяками маньяке маньяках
советчик	советчик советчики советчика советчиков советчику советчикам советчика советчиков советчиком советчиками советчике советчиках
грех	грех грехи греха грехов греху грехам грех грехи грехом грехами грехе грехах
хрен	хрен хрены хрена хренов хрену хренам хрен хрены хреном хренами хрене хренах
уклад	уклад уклады уклада укладов укладу укладам уклад уклады укладом укладами укладе укладах
