cluster	gloss
-1	an infantryman equipped with grenades
0	a very powerful blow with the fist
1	a distinctive emotional aura experienced instinctively
2	make an attempt at something
3	(anatomy) the base of a hollow organ or that part of the organ farthest from its opening / (football) kicking (as for a field goal) in which the football is dropped and kicked as it touches the ground / (of an organ or body part) excessively enlarged as a result of increased size in the constituent cells / a putout of a base runner who is required to run; the putout is accomplished by holding the ball while touching the base to which the runner must advance before the runner reaches that base / a successful free throw or try for point after a touchdown / a venture at something new or different / an effortful attempt to attain a goal / any venturesome undertaking especially one with an uncertain outcome / disappointingly unsuccessful / make an attempt at something / make an effort or attempt / resulting favorably / the area that is open during surgery / try presumptuously / without success
4	the act of pressing; the exertion of pressure
5	a gesture involving the shoulders / an articulatory gesture made by turning the tip of the tongue back against the roof of the mouth / move (one's fist)
6	hit a glancing blow with the edge of the bat / hit repeatedly / strike with, or as if with a baseball bat
7	give a base on balls to / hit a glancing blow with the edge of the bat
8	an effortful attempt to attain a goal / make an attempt at achieving something / make an attempt at something
9	(physics) a flash of light that is produced in a phosphor when it absorbs a photon or ionizing particle / emit as rays / the phenomenon in which light is scattered by very small particles in its path; it makes a beam of light visible; the scattered light is mainly blue
