cluster	gloss
2	an aircraft that has a fixed wing and is powered by propellers or jets
1	an aircraft that has a fixed wing and is powered by propellers or jets
5	a carpenter's hand tool with an adjustable blade for smoothing or shaping wood
6	an aircraft that has a fixed wing and is powered by propellers or jets
3	an aircraft that has a fixed wing and is powered by propellers or jets
4	a carpenter's hand tool with an adjustable blade for smoothing or shaping wood
-1	an aircraft that has a fixed wing and is powered by propellers or jets
0	an aircraft that has a fixed wing and is powered by propellers or jets
7	an aircraft that has a fixed wing and is powered by propellers or jets
8	a carpenter's hand tool with an adjustable blade for smoothing or shaping wood
