cluster	gloss
-1	a politician who is running for public office / run again for office
0	move with force,
1	add color to
2	detailed practical information about how something works or how something can be accomplished
3	guide or conduct or usher somewhere / lead someone in the wrong direction or give someone wrong directions
4	convey or communicate; of a smile, a look, a physical gesture
5	a document ordering the payment of money; drawn by one person or bank on another / a monthly payment made to someone who is retired from work / a payment of money sent to a person in another place / a source of help and advice and encouragement / financially rewarding / get something; come into possession of / kindly endorsement and guidance / of e.g. advice / put into a bank account / request for a sum of money / withdraw money by writing a check / write out a check on a bank account
6	a formal document written for a prosecuting attorney charging a person with some offense / an employee on strike against an employer / attack verbally with harsh criticism / not paying a salary / of or relating to the palm of the hand or to the area at the base of the thumb / put into a bank account / the hand that is on the left side of the body / the hand that is on the right side of the body / thunderous verbal attack
7	an articulatory gesture made by turning the tip of the tongue back against the roof of the mouth / cause to move forward with force / cause to tilt / move with force, / signal with the hands or nod / the second finger; between the index finger and the ring finger
8	an articulatory gesture made by turning the tip of the tongue back against the roof of the mouth / being or located on or directed toward the side of the body to the west when facing north / convey or communicate; of a smile, a look, a physical gesture / having a surface without slope, tilt in which no part is higher or lower than another / slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled / speak softly or indistinctly
9	lower in grade or rank or force somebody into an undignified situation / mild banishment; consignment to an inferior position / treat differently on the basis of sex or race
10	hit with the fist / hit with the hand / strike hard, especially with the fist
11	a payment of money sent to a person in another place / call for and obtain payment of / request for a sum of money
12	a blow with the hand (usually on the ear) / a heavy blow with the hand / a very powerful blow with the fist
13	convey or communicate; of a smile, a look, a physical gesture / signal with the hands or nod / strike with the flat of the hand; usually in a friendly way, as in encouragement or greeting
14	give bad advice to / lead someone in the wrong direction or give someone wrong directions / subject to bitter verbal abuse
15	a naval radar to search for surface targets / a shallow-draft sailboat with a sharp prow, flat bottom, and triangular sail; formerly used along the northern Atlantic coast of the United States / direct onto a point or target, especially by automatic navigational aids
16	(Roman Catholic Church) a greeting signifying Christian love for those assisting at the Eucharist / breathe or blow onto as a ritual or sacramental act, especially so as to symbolize the action of the Holy Spirit / offering words of homage as an act of worship
17	a tax based on the cost of the item purchased and collected directly from the buyer / a ticket good for a ride on a bus / a token resembling a stamp given by a retailer to a buyer; the token is redeemable for articles on a special list
18	an informal form of address for a man / strike with the flat of the hand; usually in a friendly way, as in encouragement or greeting / touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.
19	a recommendation to consult the (professional) person or group to whom one has been referred / give advice to / give directions to; point somebody into a certain direction
20	distance travelled per unit time / measured by an angle or by the rate of change of an angle / the cardinal compass point that is at 0 or 360 degrees
