cluster	gloss
-1	a machine tool with a separate, upright stand; an electric drill is pressed into the work automatically or with a hand lever
0	a commercial airplane that carries passengers
1	a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point
2	a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point
3	a function of a topological space that gives, for any two points in the space, a value equal to the distance between them
4	an edge tool with a flat steel blade with a cutting edge
5	a function of a topological space that gives, for any two points in the space, a value equal to the distance between them
6	a coordinate system for which the coordinates of a point are its distances from a set perpendicular lines that intersect at the origin of the system
7	at or within a short distance in space or time or having elements near each other
8	a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point
