cluster	gloss
-1	a pendulum clock enclosed in a tall narrow case
0	take hold of so as to seize or restrain or stop the motion of
1	arrange in a container
2	arouse or excite feelings and passions
3	take hold of so as to seize or restrain or stop the motion of
4	(military) an offensive against an enemy (using weapons)
5	make an attempt at something
6	a joint of a finger when the fist is closed
7	a method for solving a problem
8	a pause from doing something (as work)
9	a box for a child's toys and personal things (especially at a boarding school)
10	make void or empty of contents
11	get into one's hands, take physically
12	deal a blow to, either with the hand or with an instrument
13	(used especially of ideas or principles) deeply rooted; firmly fixed or held
14	(usually followed by `with') united in effort as if in a league
