cluster	gloss
-1	bid welcome to; greet upon arrival / the act of accepting with approval; favorable reception
0	the cognitive process whereby two or more stimuli are distinguished
1	a counter (as in a hotel) where guests are received
2	register formally as a participant or member
3	a mental position from which things are viewed / a way of conceiving something / accepting willingly / administer Communion; in church / an event that happens / an occurrence of thorough mixing / an occurrence that involves the production of a union / an unelaborated elementary awareness of stimulation / confess to God in the presence of a priest, as in the Catholic faith / deem to be / move with force, / of or relating to the neural process of sensation / present as an act of worship / the act of accepting with approval; favorable reception / the act of consolidating power under a central control / the act of drawing spatially closer to something / the act of getting possession of something / the act of pressing; the exertion of pressure / the cognitive process whereby two or more stimuli are distinguished / the explicit and formal acknowledgement of a government or of the national independence of a country / the withdrawal of eleven southern states from the Union in 1860 which precipitated the American Civil War
4	admit as a member / become part of; become a member of a group or organization / get a divorce; formally terminate a marriage / register formally as a participant or member / the act of marrying; the nuptial ceremony / the act of running away with a lover (usually to get married)
5	a way of regarding situations or topics etc. / acceptance without protest / accepting willingly / adopt as a belief / inclined to accept rather than reject / the cognitive process whereby two or more stimuli are distinguished
6	an occurrence that involves the production of a union / happen or occur again / the act of coming together again
7	a loss of polarity or polarization / a position of relative inferiority / a small neutral state between two rival powers
8	refusal to submit to established authority; originally the refusal of Roman Catholics to attend services of the Church of England / take part in a rebellion; renounce a former allegiance / the form of nonviolent resistance initiated in India by Mahatma Gandhi in order to oppose British rule and to hasten political reforms
9	close in relevance or relationship / connect closely and often incriminatingly / marry, not for the first time
10	refuse to accept
11	an unelaborated elementary awareness of stimulation / the act of receiving / the act of taking something that is offered
12	a reaction that has been acquired by learning / an unelaborated elementary awareness of stimulation / the cognitive process whereby two or more stimuli are distinguished
