cluster	gloss
0	устар. действие, действие по значению гл. дела́ть, делать
1	устар. действие, поступок
2	юр. юридическое лицо, занимающееся каким-либо юридическим или административным вопросом
3	действие по значению гл. делать, делать что-либо
4	перен. действие, результат, итог чего-либо
5	Too few examples to generate a proper definition!
6	Too few examples to generate a proper definition!
7	Too few examples to generate a proper definition!
8	Too few examples to generate a proper definition!
9	Too few examples to generate a proper definition!
10	Too few examples to generate a proper definition!
