cluster	gloss
3	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
0	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
2	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
1	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
12	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
-1	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
4	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
13	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
5	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
6	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
7	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
14	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
15	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
8	a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
16	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
17	a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
9	a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
18	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
10	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
11	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
19	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
20	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
